loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage
LN100419,2021-07-01,121464.2,2.59,780+,80-90,20-30,NV,Refinance,Investment,Condominium,Servicer_A,2021
LN100420,2024-06-01,316171.0,6.742,740-779,80-90,20-30,WY,Purchase,Primary Residence,Single Family,Servicer_C,2024
LN100421,2022-11-01,411583.9,5.629,700-739,60-70,20-30,MO,Purchase,Primary Residence,Townhouse,Servicer_C,2022
LN100422,2023-05-01,189755.2,7.78,700-739,70-80,30-40,NE,Refinance,Primary Residence,Single Family,Servicer_D,2023
LN100423,2022-01-01,146721.58,5.706,700-739,70-80,0-20,TX,Purchase,Primary Residence,Single Family,Servicer_B,2022
LN100424,2020-12-01,192608.24,2.74,700-739,0-60,40-50,WY,Refinance,Primary Residence,Single Family,Servicer_B,2020
LN100425,2019-05-01,146975.24,4.129,700-739,70-80,30-40,OR,Refinance,Investment,Single Family,Servicer_E,2019
LN100426,2024-01-01,236463.41,7.442,620-659,0-60,40-50,OH,Purchase,Investment,Single Family,Servicer_C,2024
LN100427,2023-08-01,264439.04,7.332,620-659,80-90,30-40,UT,Purchase,Investment,Single Family,Servicer_B,2023
LN100428,2018-03-01,211273.89,4.312,740-779,90-100,40-50,WI,Purchase,Primary Residence,Single Family,Servicer_E,2018
LN100429,2023-01-01,627885.92,6.991,700-739,80-90,30-40,OR,Refinance,Primary Residence,Condominium,Servicer_A,2023
LN100430,2018-08-01,168306.85,4.282,780+,70-80,20-30,IA,Purchase,Primary Residence,Single Family,Servicer_B,2018
LN100431,2023-03-01,537403.48,6.076,740-779,70-80,20-30,NC,Refinance,Primary Residence,Condominium,Servicer_D,2023
LN100432,2023-10-01,141002.74,8.194,580-619,90-100,30-40,ID,Purchase,Primary Residence,Condominium,Servicer_C,2023
LN100433,2018-12-01,260209.89,4.862,660-699,60-70,20-30,MT,Purchase,Primary Residence,Single Family,Servicer_E,2018
LN100434,2021-01-01,479224.37,3.023,660-699,0-60,30-40,MN,Purchase,Primary Residence,Single Family,Servicer_C,2021
LN100435,2018-11-01,465777.17,4.465,780+,70-80,0-20,WY,Purchase,Primary Residence,Condominium,Servicer_B,2018
LN100436,2021-12-01,198406.72,2.687,660-699,60-70,30-40,NV,Purchase,Primary Residence,Townhouse,Servicer_B,2021
LN100437,2024-06-01,339254.06,7.446,700-739,60-70,0-20,WV,Purchase,Primary Residence,Single Family,Servicer_A,2024
LN100438,2018-07-01,315169.13,3.379,780+,0-60,40-50,SD,Refinance,Primary Residence,Townhouse,Servicer_E,2018
LN100439,2020-10-01,185767.22,2.001,780+,70-80,0-20,TX,Purchase,Second Home,Single Family,Servicer_A,2020
LN100440,2024-10-01,350806.01,6.972,660-699,60-70,0-20,FL,Purchase,Investment,Single Family,Servicer_C,2024
LN100441,2020-02-01,696335.52,3.27,620-659,60-70,30-40,RI,Purchase,Primary Residence,Single Family,Servicer_B,2020
LN100442,2018-12-01,324049.5,4.578,660-699,0-60,30-40,IL,Refinance,Investment,Single Family,Servicer_A,2018
LN100443,2021-06-01,341366.58,3.438,620-659,60-70,30-40,NH,Purchase,Investment,Single Family,Servicer_B,2021
LN100444,2021-07-01,361819.75,3.351,660-699,80-90,40-50,MO,Purchase,Primary Residence,Single Family,Servicer_C,2021
LN100445,2022-08-01,111935.61,4.987,700-739,60-70,20-30,IL,Purchase,Primary Residence,Single Family,Servicer_A,2022
LN100446,2020-03-01,322010.61,2.74,780+,70-80,30-40,WY,Purchase,Primary Residence,Single Family,Servicer_E,2020
LN100447,2024-09-01,142914.01,6.945,700-739,80-90,20-30,UT,Purchase,Primary Residence,Single Family,Servicer_E,2024
LN100448,2021-08-01,180733.42,2.941,740-779,60-70,20-30,NH,Purchase,Primary Residence,Townhouse,Servicer_A,2021
LN100449,2020-01-01,821004.75,3.506,660-699,80-90,20-30,AL,Purchase,Primary Residence,Townhouse,Servicer_D,2020
LN100450,2024-09-01,217493.08,6.501,740-779,80-90,0-20,GA,Purchase,Investment,Single Family,Servicer_B,2024
LN100451,2024-06-01,166395.11,6.084,740-779,70-80,20-30,ID,Refinance,Primary Residence,Single Family,Servicer_A,2024
LN100452,2021-06-01,471246.51,2.208,780+,0-60,30-40,WI,Purchase,Primary Residence,Single Family,Servicer_B,2021
LN100453,2018-03-01,148448.57,3.459,780+,0-60,0-20,MA,Purchase,Investment,Townhouse,Servicer_D,2018
LN100454,2022-03-01,195464.81,5.335,700-739,90-100,40-50,AZ,Refinance,Investment,Single Family,Servicer_C,2022
LN100455,2021-11-01,496925.25,3.918,620-659,80-90,20-30,NJ,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100456,2019-01-01,255950.25,4.057,660-699,90-100,0-20,WV,Purchase,Second Home,Multi Unit,Servicer_C,2019
LN100457,2022-06-01,105909.24,6.164,700-739,90-100,30-40,NH,Purchase,Investment,Single Family,Servicer_C,2022
LN100458,2023-11-01,337192.91,6.158,780+,0-60,0-20,MN,Purchase,Primary Residence,Single Family,Servicer_D,2023
LN100459,2018-09-01,201020.06,4.727,700-739,80-90,0-20,FL,Purchase,Investment,Townhouse,Servicer_C,2018
LN100460,2023-01-01,583111.98,6.25,740-779,70-80,30-40,UT,Purchase,Primary Residence,Townhouse,Servicer_D,2023
LN100461,2018-12-01,179120.38,4.969,700-739,80-90,0-20,CO,Refinance,Primary Residence,Single Family,Servicer_C,2018
LN100462,2023-03-01,445695.15,6.859,660-699,0-60,0-20,WA,Refinance,Primary Residence,Single Family,Servicer_A,2023
LN100463,2020-12-01,663875.64,2.804,700-739,60-70,30-40,ID,Purchase,Primary Residence,Single Family,Servicer_D,2020
LN100464,2018-01-01,156560.44,4.55,740-779,80-90,0-20,CT,Purchase,Primary Residence,Single Family,Servicer_B,2018
LN100465,2024-10-01,224796.1,6.285,740-779,80-90,30-40,LA,Purchase,Primary Residence,Single Family,Servicer_C,2024
LN100466,2019-02-01,309576.37,3.449,700-739,70-80,30-40,AL,Purchase,Primary Residence,Single Family,Servicer_C,2019
LN100467,2022-03-01,156010.1,5.154,660-699,60-70,0-20,AL,Purchase,Primary Residence,Condominium,Servicer_B,2022
LN100468,2019-04-01,290070.25,3.695,740-779,60-70,20-30,GA,Purchase,Primary Residence,Condominium,Servicer_A,2019
LN100469,2024-07-01,220909.86,7.489,660-699,90-100,0-20,OH,Purchase,Second Home,Multi Unit,Servicer_C,2024
LN100470,2023-03-01,218475.47,6.625,780+,70-80,30-40,SD,Refinance,Primary Residence,Townhouse,Servicer_D,2023
LN100471,2023-08-01,256820.41,6.784,660-699,70-80,0-20,IL,Purchase,Primary Residence,Single Family,Servicer_D,2023
LN100472,2021-01-01,259993.47,3.732,620-659,70-80,40-50,NC,Purchase,Primary Residence,Single Family,Servicer_C,2021
LN100473,2021-04-01,273580.34,2.926,700-739,70-80,0-20,LA,Purchase,Second Home,Single Family,Servicer_A,2021
LN100474,2022-06-01,179846.99,5.057,700-739,70-80,30-40,MI,Purchase,Primary Residence,Single Family,Servicer_B,2022
LN100475,2023-06-01,184217.38,6.926,700-739,70-80,0-20,KY,Purchase,Primary Residence,Single Family,Servicer_D,2023
LN100476,2023-12-01,234214.59,6.99,700-739,80-90,0-20,VT,Purchase,Primary Residence,Condominium,Servicer_B,2023
LN100477,2018-02-01,243920.95,4.251,780+,90-100,20-30,MT,Purchase,Investment,Single Family,Servicer_D,2018
LN100478,2022-08-01,196388.29,5.753,700-739,90-100,20-30,MT,Refinance,Investment,Single Family,Servicer_B,2022
LN100479,2018-10-01,298756.16,4.501,700-739,70-80,40-50,TX,Refinance,Second Home,Single Family,Servicer_A,2018
LN100480,2020-01-01,92143.02,3.064,700-739,70-80,0-20,NC,Purchase,Primary Residence,Multi Unit,Servicer_C,2020
LN100481,2023-10-01,167285.93,7.486,620-659,80-90,0-20,DE,Purchase,Primary Residence,Condominium,Servicer_C,2023
LN100482,2019-10-01,214326.51,3.499,740-779,80-90,20-30,GA,Purchase,Primary Residence,Single Family,Servicer_C,2019
LN100483,2023-07-01,156115.73,7.082,660-699,70-80,20-30,LA,Purchase,Primary Residence,Single Family,Servicer_A,2023
LN100484,2021-03-01,612482.17,2.669,740-779,80-90,30-40,CA,Refinance,Primary Residence,Townhouse,Servicer_D,2021
LN100485,2019-08-01,252607.0,4.434,620-659,80-90,40-50,OH,Purchase,Investment,Single Family,Servicer_B,2019
LN100486,2020-05-01,275526.62,2.538,780+,70-80,30-40,MO,Purchase,Investment,Condominium,Servicer_D,2020
LN100487,2021-09-01,191652.54,3.38,700-739,80-90,0-20,AZ,Refinance,Primary Residence,Condominium,Servicer_C,2021
LN100488,2023-05-01,247839.79,6.266,780+,60-70,20-30,MA,Purchase,Primary Residence,Condominium,Servicer_B,2023
LN100489,2022-03-01,128133.35,5.181,700-739,70-80,30-40,TN,Purchase,Primary Residence,Single Family,Servicer_C,2022
LN100490,2024-07-01,227707.42,7.269,620-659,70-80,20-30,VA,Purchase,Primary Residence,Townhouse,Servicer_C,2024
LN100491,2024-01-01,149322.18,6.581,740-779,0-60,30-40,WI,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100492,2023-04-01,214624.28,6.041,740-779,80-90,0-20,WA,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100493,2022-03-01,75000.0,5.329,740-779,70-80,20-30,NM,Refinance,Primary Residence,Single Family,Servicer_A,2022
LN100494,2020-01-01,134432.09,2.348,700-739,0-60,30-40,WA,Purchase,Primary Residence,Single Family,Servicer_E,2020
LN100495,2020-11-01,559263.33,2.635,740-779,80-90,20-30,WV,Purchase,Primary Residence,Single Family,Servicer_B,2020
LN100496,2018-10-01,394721.19,4.086,780+,80-90,40-50,NY,Purchase,Primary Residence,Condominium,Servicer_A,2018
LN100497,2020-08-01,516426.28,3.711,740-779,80-90,20-30,MA,Purchase,Primary Residence,Townhouse,Servicer_D,2020
LN100498,2024-06-01,536307.46,7.343,700-739,70-80,0-20,WI,Purchase,Primary Residence,Single Family,Servicer_A,2024
LN100499,2020-12-01,361985.44,3.272,740-779,80-90,20-30,MA,Refinance,Primary Residence,Townhouse,Servicer_E,2020
LN100500,2018-10-01,194879.84,4.397,740-779,70-80,0-20,FL,Purchase,Second Home,Multi Unit,Servicer_B,2018
LN100501,2022-07-01,141312.38,4.281,780+,70-80,20-30,CO,Purchase,Primary Residence,Single Family,Servicer_B,2022
LN100502,2024-09-01,469735.82,6.687,700-739,0-60,0-20,NH,Purchase,Primary Residence,Condominium,Servicer_A,2024
LN100503,2024-01-01,259037.62,6.675,700-739,70-80,30-40,AK,Purchase,Primary Residence,Multi Unit,Servicer_A,2024
LN100504,2019-12-01,985523.99,3.645,740-779,80-90,30-40,CO,Purchase,Primary Residence,Townhouse,Servicer_A,2019
LN100505,2021-03-01,204518.21,3.006,700-739,70-80,20-30,IL,Refinance,Primary Residence,Single Family,Servicer_A,2021
LN100506,2021-09-01,739928.56,2.569,740-779,70-80,0-20,NE,Purchase,Investment,Townhouse,Servicer_B,2021
LN100507,2019-09-01,229344.54,4.401,700-739,80-90,20-30,MS,Refinance,Investment,Condominium,Servicer_B,2019
LN100508,2019-11-01,521280.17,3.809,660-699,80-90,30-40,MT,Refinance,Primary Residence,Single Family,Servicer_B,2019
LN100509,2019-08-01,635645.73,3.613,740-779,60-70,20-30,MT,Purchase,Investment,Single Family,Servicer_A,2019
LN100510,2024-12-01,142428.26,7.576,620-659,90-100,0-20,WY,Purchase,Primary Residence,Single Family,Servicer_A,2024
LN100511,2023-03-01,191466.33,7.137,660-699,80-90,20-30,HI,Refinance,Primary Residence,Single Family,Servicer_A,2023
LN100512,2023-11-01,141644.78,7.051,740-779,90-100,20-30,MS,Refinance,Primary Residence,Single Family,Servicer_A,2023
LN100513,2023-09-01,127102.2,6.625,740-779,90-100,20-30,NM,Purchase,Primary Residence,Single Family,Servicer_B,2023
LN100514,2024-09-01,360808.62,6.789,780+,90-100,0-20,IN,Purchase,Primary Residence,Townhouse,Servicer_A,2024
LN100515,2018-09-01,224374.23,4.926,660-699,80-90,40-50,GA,Purchase,Primary Residence,Condominium,Servicer_B,2018
LN100516,2024-03-01,257305.06,7.242,620-659,70-80,0-20,AZ,Refinance,Primary Residence,Single Family,Servicer_E,2024
LN100517,2018-06-01,339472.33,3.699,780+,0-60,0-20,KY,Refinance,Second Home,Single Family,Servicer_A,2018
LN100518,2021-04-01,90007.96,3.164,660-699,70-80,0-20,IL,Refinance,Primary Residence,Single Family,Servicer_A,2021
LN100519,2022-02-01,507340.42,5.56,660-699,80-90,20-30,GA,Purchase,Investment,Single Family,Servicer_C,2022
LN100520,2020-07-01,206326.35,3.362,660-699,70-80,20-30,IN,Purchase,Investment,Condominium,Servicer_B,2020
LN100521,2019-01-01,335050.62,4.057,700-739,80-90,0-20,OH,Refinance,Second Home,Single Family,Servicer_A,2019
LN100522,2019-05-01,351726.18,3.057,780+,0-60,20-30,TN,Purchase,Primary Residence,Multi Unit,Servicer_D,2019
LN100523,2023-10-01,531338.36,7.037,740-779,70-80,30-40,MT,Refinance,Primary Residence,Single Family,Servicer_C,2023
LN100524,2020-03-01,235989.98,2.985,740-779,70-80,20-30,AR,Purchase,Primary Residence,Single Family,Servicer_E,2020
LN100525,2020-03-01,77747.03,3.245,660-699,70-80,40-50,OR,Refinance,Investment,Townhouse,Servicer_E,2020
LN100526,2024-06-01,257979.75,6.684,700-739,0-60,20-30,DE,Refinance,Primary Residence,Single Family,Servicer_C,2024
LN100527,2019-01-01,279178.03,3.432,700-739,0-60,0-20,AZ,Purchase,Primary Residence,Single Family,Servicer_C,2019
LN100528,2024-05-01,141544.97,7.159,660-699,80-90,40-50,NH,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100529,2024-06-01,271125.22,6.994,660-699,70-80,30-40,MI,Refinance,Primary Residence,Condominium,Servicer_E,2024
LN100530,2022-03-01,204977.62,5.016,660-699,0-60,20-30,KS,Purchase,Second Home,Single Family,Servicer_C,2022
LN100531,2019-02-01,119455.78,4.456,620-659,0-60,30-40,WI,Refinance,Primary Residence,Townhouse,Servicer_B,2019
LN100532,2019-02-01,361686.43,3.788,700-739,70-80,20-30,CA,Purchase,Primary Residence,Condominium,Servicer_A,2019
LN100533,2019-12-01,183352.79,3.383,740-779,0-60,20-30,AZ,Purchase,Primary Residence,Townhouse,Servicer_C,2019
LN100534,2022-01-01,199927.01,5.969,620-659,80-90,30-40,NJ,Purchase,Primary Residence,Condominium,Servicer_C,2022
LN100535,2019-01-01,193841.84,5.028,700-739,80-90,30-40,MA,Refinance,Primary Residence,Condominium,Servicer_D,2019
LN100536,2021-03-01,493229.28,2.411,740-779,60-70,20-30,SD,Refinance,Primary Residence,Condominium,Servicer_A,2021
LN100537,2018-10-01,244436.86,3.669,740-779,70-80,30-40,AZ,Refinance,Primary Residence,Single Family,Servicer_D,2018
LN100538,2021-10-01,261116.28,2.03,740-779,0-60,20-30,MA,Refinance,Investment,Condominium,Servicer_A,2021
LN100539,2018-02-01,196195.39,4.668,700-739,60-70,0-20,DE,Purchase,Primary Residence,Condominium,Servicer_C,2018
LN100540,2022-12-01,322478.89,5.691,740-779,80-90,40-50,AZ,Refinance,Investment,Single Family,Servicer_B,2022
LN100541,2018-05-01,525098.49,4.585,660-699,70-80,20-30,MS,Purchase,Primary Residence,Condominium,Servicer_B,2018
LN100542,2019-05-01,357017.35,4.524,700-739,80-90,20-30,OR,Purchase,Primary Residence,Single Family,Servicer_B,2019
LN100543,2019-03-01,364759.32,4.312,660-699,60-70,20-30,DE,Purchase,Primary Residence,Single Family,Servicer_A,2019
LN100544,2023-10-01,348935.65,6.653,700-739,60-70,20-30,TX,Purchase,Primary Residence,Single Family,Servicer_A,2023
LN100545,2018-05-01,117017.96,4.462,700-739,70-80,20-30,MT,Refinance,Primary Residence,Single Family,Servicer_D,2018
LN100546,2021-01-01,154407.55,3.264,660-699,70-80,40-50,MO,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100547,2022-02-01,223345.04,5.753,740-779,90-100,30-40,WA,Refinance,Primary Residence,Single Family,Servicer_D,2022
LN100548,2021-08-01,167709.9,3.129,660-699,0-60,30-40,KY,Refinance,Second Home,Single Family,Servicer_C,2021
LN100549,2022-10-01,139207.49,5.587,660-699,80-90,20-30,HI,Purchase,Second Home,Single Family,Servicer_A,2022
LN100550,2023-08-01,89278.82,7.558,620-659,80-90,20-30,SC,Purchase,Primary Residence,Single Family,Servicer_E,2023
LN100551,2020-10-01,119208.0,3.704,700-739,70-80,0-20,CO,Purchase,Primary Residence,Single Family,Servicer_D,2020
LN100552,2023-10-01,217102.99,7.035,660-699,60-70,20-30,UT,Purchase,Primary Residence,Multi Unit,Servicer_D,2023
LN100553,2020-03-01,240633.83,3.371,700-739,70-80,0-20,TN,Refinance,Primary Residence,Townhouse,Servicer_D,2020
LN100554,2024-11-01,161625.4,7.152,660-699,60-70,30-40,WI,Purchase,Primary Residence,Single Family,Servicer_C,2024
LN100555,2021-07-01,261091.2,2.992,740-779,80-90,30-40,MS,Purchase,Investment,Single Family,Servicer_E,2021
LN100556,2023-02-01,196930.8,6.343,780+,70-80,20-30,NY,Purchase,Primary Residence,Single Family,Servicer_A,2023
LN100557,2024-02-01,455445.65,7.509,700-739,90-100,20-30,VT,Purchase,Primary Residence,Single Family,Servicer_A,2024
LN100558,2023-07-01,228735.6,6.776,740-779,70-80,30-40,CT,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100559,2023-12-01,366662.9,6.389,780+,70-80,0-20,KS,Purchase,Primary Residence,Condominium,Servicer_B,2023
LN100560,2021-10-01,279563.23,2.452,780+,80-90,40-50,MS,Purchase,Primary Residence,Condominium,Servicer_C,2021
LN100561,2018-04-01,115621.49,4.406,740-779,70-80,20-30,NY,Refinance,Investment,Single Family,Servicer_B,2018
LN100562,2021-06-01,237840.18,2.84,780+,90-100,0-20,ND,Purchase,Primary Residence,Condominium,Servicer_B,2021
LN100563,2019-04-01,126705.77,3.248,780+,60-70,0-20,WA,Purchase,Second Home,Single Family,Servicer_E,2019
LN100564,2024-03-01,235566.78,7.794,740-779,90-100,40-50,MO,Purchase,Investment,Townhouse,Servicer_A,2024
LN100565,2019-08-01,165942.11,3.678,700-739,80-90,0-20,FL,Purchase,Primary Residence,Multi Unit,Servicer_A,2019
LN100566,2019-08-01,308444.09,5.028,620-659,80-90,30-40,GA,Purchase,Primary Residence,Single Family,Servicer_C,2019
LN100567,2019-09-01,119482.04,4.881,580-619,70-80,0-20,SD,Refinance,Primary Residence,Townhouse,Servicer_D,2019
LN100568,2022-06-01,252029.7,5.579,700-739,80-90,0-20,MS,Purchase,Primary Residence,Townhouse,Servicer_D,2022
LN100569,2021-12-01,342506.11,3.631,700-739,60-70,30-40,NY,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100570,2024-08-01,411841.46,6.751,700-739,80-90,0-20,NH,Purchase,Primary Residence,Single Family,Servicer_E,2024
LN100571,2020-11-01,164213.7,2.693,700-739,0-60,0-20,SD,Purchase,Primary Residence,Townhouse,Servicer_C,2020
LN100572,2019-12-01,252452.71,3.835,700-739,60-70,20-30,HI,Purchase,Investment,Single Family,Servicer_D,2019
LN100573,2018-05-01,276646.84,4.036,740-779,70-80,30-40,FL,Refinance,Primary Residence,Single Family,Servicer_A,2018
LN100574,2018-01-01,585449.76,5.305,620-659,60-70,20-30,OR,Refinance,Primary Residence,Condominium,Servicer_B,2018
LN100575,2020-08-01,110689.54,3.2,660-699,70-80,0-20,MI,Purchase,Primary Residence,Single Family,Servicer_C,2020
LN100576,2024-06-01,151464.99,6.986,740-779,80-90,40-50,SD,Refinance,Primary Residence,Single Family,Servicer_C,2024
LN100577,2021-08-01,1169013.24,2.0,780+,60-70,30-40,CT,Purchase,Primary Residence,Multi Unit,Servicer_A,2021
LN100578,2024-04-01,215133.21,5.998,780+,80-90,30-40,IN,Purchase,Second Home,Single Family,Servicer_C,2024
LN100579,2018-09-01,88359.55,3.771,780+,0-60,30-40,WI,Refinance,Primary Residence,Single Family,Servicer_C,2018
LN100580,2018-08-01,181464.19,3.769,780+,80-90,30-40,TX,Purchase,Primary Residence,Condominium,Servicer_B,2018
LN100581,2023-11-01,75000.0,7.715,660-699,80-90,20-30,AR,Purchase,Primary Residence,Single Family,Servicer_B,2023
LN100582,2018-09-01,285421.58,4.081,700-739,70-80,20-30,SD,Purchase,Primary Residence,Condominium,Servicer_B,2018
LN100583,2018-05-01,390271.46,4.679,660-699,80-90,30-40,AR,Refinance,Second Home,Condominium,Servicer_D,2018
LN100584,2020-10-01,151418.36,3.384,740-779,90-100,30-40,CT,Purchase,Primary Residence,Single Family,Servicer_C,2020
LN100585,2024-06-01,192975.41,6.364,780+,80-90,40-50,VT,Refinance,Primary Residence,Single Family,Servicer_C,2024
LN100586,2022-10-01,415495.05,4.884,700-739,70-80,20-30,CT,Purchase,Primary Residence,Multi Unit,Servicer_E,2022
LN100587,2018-09-01,95472.9,5.152,700-739,70-80,20-30,KS,Refinance,Primary Residence,Townhouse,Servicer_C,2018
LN100588,2023-11-01,120855.64,6.96,660-699,80-90,20-30,CT,Purchase,Primary Residence,Single Family,Servicer_A,2023
LN100589,2023-11-01,220522.02,6.901,660-699,60-70,30-40,NJ,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100590,2023-08-01,165285.91,7.197,660-699,80-90,20-30,AZ,Purchase,Investment,Single Family,Servicer_E,2023
LN100591,2024-04-01,212689.66,7.553,620-659,60-70,30-40,IA,Purchase,Primary Residence,Townhouse,Servicer_A,2024
LN100592,2019-09-01,124760.79,3.779,780+,80-90,20-30,KY,Purchase,Primary Residence,Townhouse,Servicer_C,2019
LN100593,2024-11-01,281275.14,6.392,700-739,0-60,0-20,NC,Purchase,Primary Residence,Single Family,Servicer_A,2024
LN100594,2020-03-01,230299.98,2.562,740-779,0-60,20-30,MO,Purchase,Primary Residence,Townhouse,Servicer_D,2020
LN100595,2023-08-01,338158.83,6.892,740-779,90-100,30-40,GA,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100596,2022-01-01,279130.84,6.015,660-699,80-90,40-50,MS,Refinance,Second Home,Single Family,Servicer_E,2022
LN100597,2023-06-01,280098.26,6.91,660-699,80-90,20-30,MN,Purchase,Second Home,Condominium,Servicer_C,2023
LN100598,2022-05-01,112842.37,6.095,740-779,90-100,20-30,LA,Purchase,Investment,Single Family,Servicer_A,2022
LN100599,2022-06-01,327794.3,5.362,660-699,70-80,20-30,NE,Purchase,Primary Residence,Condominium,Servicer_B,2022
LN100600,2022-04-01,208405.23,4.737,780+,60-70,20-30,KY,Purchase,Primary Residence,Single Family,Servicer_E,2022
LN100601,2023-06-01,228110.89,6.512,660-699,0-60,0-20,KY,Purchase,Investment,Townhouse,Servicer_A,2023
LN100602,2023-03-01,444969.76,6.171,740-779,70-80,30-40,SC,Refinance,Primary Residence,Multi Unit,Servicer_A,2023
LN100603,2018-12-01,168303.91,3.928,740-779,60-70,40-50,IL,Purchase,Primary Residence,Single Family,Servicer_C,2018
LN100604,2023-10-01,525637.76,7.169,660-699,90-100,20-30,KY,Purchase,Primary Residence,Single Family,Servicer_B,2023
LN100605,2021-10-01,553312.16,2.886,660-699,0-60,20-30,DE,Purchase,Second Home,Condominium,Servicer_A,2021
LN100606,2020-04-01,378226.17,2.116,780+,0-60,0-20,OH,Purchase,Investment,Single Family,Servicer_A,2020
LN100607,2021-08-01,145783.04,3.319,660-699,60-70,20-30,OK,Purchase,Primary Residence,Townhouse,Servicer_B,2021
LN100608,2024-10-01,75113.45,6.505,700-739,60-70,20-30,ND,Refinance,Primary Residence,Condominium,Servicer_C,2024
LN100609,2024-01-01,452514.64,6.472,700-739,60-70,30-40,FL,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100610,2023-11-01,265794.3,6.942,660-699,70-80,0-20,MN,Purchase,Primary Residence,Townhouse,Servicer_B,2023
LN100611,2021-03-01,165936.02,2.908,740-779,60-70,30-40,IA,Refinance,Primary Residence,Single Family,Servicer_D,2021
LN100612,2023-06-01,476715.66,6.624,740-779,70-80,20-30,RI,Refinance,Primary Residence,Single Family,Servicer_A,2023
LN100613,2020-09-01,155649.01,3.28,700-739,80-90,30-40,KY,Refinance,Second Home,Single Family,Servicer_C,2020
LN100614,2022-10-01,197981.88,4.66,740-779,70-80,30-40,MA,Refinance,Primary Residence,Townhouse,Servicer_B,2022
LN100615,2022-06-01,333669.38,5.447,660-699,80-90,0-20,MN,Purchase,Primary Residence,Multi Unit,Servicer_B,2022
LN100616,2019-09-01,135501.05,4.656,580-619,60-70,20-30,RI,Purchase,Investment,Single Family,Servicer_C,2019
LN100617,2019-11-01,235390.64,4.132,700-739,0-60,30-40,OK,Refinance,Primary Residence,Single Family,Servicer_C,2019
LN100618,2018-06-01,455085.98,4.099,780+,60-70,30-40,SD,Refinance,Primary Residence,Single Family,Servicer_E,2018
LN100619,2018-12-01,280780.11,5.882,580-619,90-100,0-20,MI,Purchase,Primary Residence,Condominium,Servicer_A,2018
LN100620,2021-01-01,496481.09,3.041,660-699,70-80,20-30,SD,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100621,2021-05-01,466352.7,2.612,700-739,60-70,20-30,UT,Refinance,Primary Residence,Single Family,Servicer_B,2021
LN100622,2019-02-01,251066.29,3.424,740-779,70-80,30-40,NE,Purchase,Primary Residence,Single Family,Servicer_C,2019
LN100623,2020-12-01,75000.0,4.048,620-659,80-90,30-40,ND,Purchase,Primary Residence,Single Family,Servicer_A,2020
LN100624,2022-03-01,136085.88,5.254,700-739,70-80,0-20,VA,Purchase,Primary Residence,Condominium,Servicer_E,2022
LN100625,2019-08-01,380427.14,4.314,740-779,70-80,30-40,TN,Purchase,Primary Residence,Single Family,Servicer_D,2019
LN100626,2020-05-01,106572.19,3.685,700-739,80-90,30-40,IN,Purchase,Primary Residence,Single Family,Servicer_B,2020
LN100627,2020-07-01,208884.19,3.753,660-699,70-80,30-40,OK,Purchase,Primary Residence,Single Family,Servicer_B,2020
LN100628,2021-07-01,301155.05,3.411,660-699,70-80,0-20,MN,Purchase,Investment,Single Family,Servicer_A,2021
LN100629,2020-07-01,561002.19,2.883,700-739,60-70,20-30,DE,Purchase,Primary Residence,Single Family,Servicer_C,2020
LN100630,2023-02-01,182217.33,6.789,700-739,0-60,20-30,ME,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100631,2020-04-01,175483.09,2.905,780+,90-100,0-20,WI,Purchase,Primary Residence,Single Family,Servicer_E,2020
LN100632,2021-01-01,242891.72,3.199,740-779,70-80,20-30,WV,Purchase,Primary Residence,Single Family,Servicer_B,2021
LN100633,2020-08-01,303221.35,2.981,740-779,70-80,0-20,SC,Refinance,Primary Residence,Single Family,Servicer_A,2020
LN100634,2019-04-01,229665.79,3.519,780+,70-80,0-20,WY,Purchase,Primary Residence,Condominium,Servicer_A,2019
LN100635,2022-10-01,445215.53,5.178,700-739,0-60,30-40,NH,Purchase,Primary Residence,Single Family,Servicer_A,2022
LN100636,2019-08-01,161084.94,4.662,700-739,80-90,20-30,PA,Purchase,Second Home,Single Family,Servicer_E,2019
LN100637,2020-01-01,267080.32,2.08,780+,60-70,30-40,FL,Purchase,Primary Residence,Condominium,Servicer_D,2020
LN100638,2023-07-01,319362.85,7.811,660-699,80-90,0-20,IA,Purchase,Primary Residence,Single Family,Servicer_D,2023
LN100639,2024-08-01,200604.01,6.534,740-779,70-80,20-30,FL,Refinance,Primary Residence,Single Family,Servicer_D,2024
LN100640,2022-09-01,396748.03,4.568,740-779,60-70,20-30,WA,Purchase,Primary Residence,Townhouse,Servicer_A,2022
